AFR448,720,170,900,270
AFR1732,1305,570,1412,639
JKK657,1810,270,1914,322
RAM561,186,831,300,900
BAL914,512,152,616,204
ROT127,957,105,1113,199
FIN2654,553,809,687,896
BER530,746,904,883,998
RYR461,937,871,1060,961
SAS654,304,721,446,811
KLM1222,817,469,951,556
RYR1219,977,494,1118,591
IBE249,1128,619,1256,709
BAW510,1128,940,1250,1024
AAL221,1200,334,1324,423
IBE813,1516,347,1645,432
