Time,X,Y
0.01,996.1804602778911,370.03782820482854
0.02,996.2591645688242,370.0829563641011
0.03,995.4962105300784,370.9114029769678
0.04,997.9026577131135,373.16260010890585
0.05,997.5952695620426,376.1435619216163
0.06,920.9332259298443,570.6885744723788
0.07,915.9595015981173,585.8330626647421
0.08,910.1132815543233,599.6042034609372
0.09,907.8558116329324,611.3884121838133
0.1,910.2359895918815,616.3481572209504
0.11,914.6516239988074,615.0539615566082
0.12,914.2842952715762,613.2195204671533
0.13,913.4644386730508,606.7012821184023
0.14,913.4644386730508,606.7012821184023
0.15,913.4644386730508,606.7012821184023
0.16,913.4644386730508,606.7012821184023
0.17,913.4644386730508,606.7012821184023
0.18,913.4644386730508,606.7012821184023
0.19,982.2508239746091,435.61344548676163
0.2,969.3223467770606,506.79020511740407
0.21,968.6528016174166,536.453651541308
0.22,969.4280769435823,539.519424578001
0.23,972.5061377518228,500.3878573242614
0.24,970.6089387547094,493.9575394281286
0.25,969.2143530368512,470.4392487187374
0.26,967.5229014221314,466.45628843419564
0.27,961.5591827908446,473.93532762527474
0.28,946.7603293585929,488.9317584537265
0.29,941.4653606251221,495.6880273954634
0.3,894.4439605404343,544.8127855167506
0.31,889.5953683673906,550.6936388665574
0.32,889.5953683673906,550.6936388665574
0.33,888.5182039116492,552.5410059223216
0.34,888.1436977520596,549.7388571071048
0.35,888.1068489237077,548.372042392273
0.36,888.3959999182508,547.3382204292735
0.37,890.4915172961878,550.0507680673558
0.38,892.7875589719255,550.3695768606401
0.39,888.9101104348604,548.6039866344562
0.4,887.0954542329781,547.8201116086361
0.41,886.8554923074705,547.1422032333396
0.42,886.0960341234744,541.8722197454497
0.43,887.4283034319471,542.3490092664706
0.44,886.2289324592533,543.4043656081277
0.45,885.817285021952,543.5577913394011
0.46,883.3059797986945,542.265604760187
0.47,844.3788070293785,440.26538189658004
0.48,833.5866674542009,384.4523171698336
0.49,824.5566619343497,346.69091236122944
0.5,805.6374015966616,241.3202847499823
0.51,804.0999902435626,235.5292130473159
0.52,804.2180762957518,236.98810343993568
0.53,807.6202801620392,238.46919538346884
0.54,808.5847110678286,245.99018840809583
0.55,808.5549737951666,245.7538967624108
0.56,809.2209446153872,245.88573605657726
0.57,810.261738215834,247.09320465848558
0.58,808.7054373148158,248.59241573549104
0.59,811.4257740474553,246.01604041866204
0.6,812.3288230540621,245.49955130101267
0.61,812.4905394350224,244.41021675535256
0.62,810.570159663911,243.57554175543333
0.63,809.1849333433653,242.44264534494937
0.64,808.2278334599197,242.1473749941301
0.65,806.7873379952697,241.190908294452
0.66,804.2102116014593,237.07838378835422
0.67,804.1370268319657,236.3559473135136
0.68,805.233228420673,236.04786319906003
0.69,805.6227401966172,236.37708208913438
0.7,805.8776920179489,235.5857814156333
0.71,804.3721995692874,233.02016210451586
0.72,803.951844703736,231.8784770090125
0.73,803.9864064017337,228.81983099108314
0.74,803.2299165230573,226.74632528925062
0.75,803.5090693582563,226.0457102973853
0.76,804.7572515512942,227.6221164800934
0.77,804.6074142444529,228.04766248301246
0.78,804.2623138195747,227.50510603495135
0.79,805.0053463932336,226.74410140444658
0.8,803.6269046940158,220.50484420289678
0.81,803.9227772567242,220.96036558749327
0.82,807.1077047485296,224.77027569645085
0.83,807.0706460773243,224.77096275803598
0.84,806.7190720045246,222.4951272765486
0.85,810.914139578414,223.24609094125867
0.86,960.3735514544446,191.04863582584508
0.87,996.3564091025547,184.91940108119366
0.88,1016.7342006388089,184.1300121191448
0.89,1017.379008242135,184.80044870136865
0.9,1018.242460029172,182.2330896006906
0.91,1019.8014775492695,179.21378728098236
0.92,1021.329015042003,179.32525832266307
0.93,1022.600659542468,178.2312419383314
0.94,1022.0603766749745,175.01764504884503
0.95,1020.2129340279155,173.75846894720937
0.96,1020.7683775305484,175.28534435971292
0.97,1020.8080629646277,174.82060178223657
0.98,1024.4733167361746,171.2659986902274
0.99,1025.4413813979013,172.645053804635
1.0,1023.7675021283759,173.53323462616657
1.01,1025.053044680534,173.2824248255688
1.02,1025.2972663931312,172.59712243863882
1.03,1025.3670984585026,168.5041507285154
1.04,1026.1141455730387,169.27929885797664
1.05,1026.708638118693,170.14468736036048
1.06,1027.51276995438,169.97298864500166
1.07,1027.4628760948635,169.7714552603386
1.08,1025.207349930676,169.19527320483164
1.09,1024.9830071354522,169.0889329419583
1.1,1023.8686495087039,168.85265041368243
1.11,1021.5298110425181,172.6563288651775
1.12,1021.3345934768538,171.97321108200236
1.13,1022.1914650761413,171.03767383789736
1.14,1021.4415193999137,170.29866695052766
1.15,1021.0596102257692,170.37379135445093
1.16,1020.9131338194268,170.4387024527481
1.17,1019.5871494531007,169.22290742493934
1.18,1019.1627911708521,169.29911831249277
1.19,1018.6785965134654,169.72496300832395
1.2,1016.180690628411,172.16773407377522
1.21,1015.0235951327518,175.36566546252982
1.22,1014.7564470101838,177.054546706988
1.23,1016.2495058669562,173.6639729216219
1.24,1016.4149777835455,174.52414103591005
1.25,1017.0909071018373,172.67649434885715
1.26,1017.0040783243024,169.3157587472859
1.27,1018.5246293534329,169.17983944876195
1.28,1019.3643800671613,170.20637983371483
1.29,1019.9407103322233,171.48679685765353
1.3,1020.1116054358008,170.63062122790532
1.31,1019.9349762067532,171.0944046917727
1.32,1022.1525049798888,177.87148167314913
1.33,1021.2366335777427,176.094975631913
1.34,1022.4308020825027,174.06188229730407
1.35,1025.6254144091954,171.19888758046633
1.36,1023.1209725339729,171.73852460993672
1.37,1007.087812056519,171.02750090036224
1.38,966.8746431817062,185.06352338698568
1.39,865.6915258341801,227.7663403561112
1.4,845.0074565693122,236.14238703560915
1.41,819.3108669303689,247.4675940746308
1.42,821.4744611542332,244.02108096634285
1.43,820.5688514576512,243.9456389582004
1.44,820.7488745614963,242.78819075410405
1.45,823.8454296917112,241.64330259401984
1.46,823.3503794054417,241.91939368015485
1.47,824.1530796806677,241.86898888456082
1.48,824.4661340587722,241.96815289652938
1.49,822.6326522130184,243.7199383449652
1.5,824.6022429134738,244.11212419814308
1.51,826.8887091339911,245.4056004161557
1.52,825.7488829906904,244.68224232113045
1.53,825.6486173903387,243.84367686721953
1.54,825.1230359095238,242.70630296225633
1.55,823.7639269253551,242.13899646957967
1.56,823.7361205309762,242.33740623271964
1.57,822.7705181532151,242.55741108815806
1.58,822.3278102113503,245.02811871399408
1.59,822.1773779338057,245.36378875671693
1.6,821.8322965475687,246.59658559804873
1.61,821.1686189317011,247.04750505192632
1.62,824.874369866598,247.82584372003114
1.63,825.595003249761,244.52462920240362
1.64,826.5410470983475,245.04334491324454
1.65,827.1876869502803,244.68474286330292
1.66,824.1943658191443,245.21014547535552
1.67,824.3171519892385,246.15537305426002
1.68,841.0437264421149,240.21555583746274
1.69,924.7937865665491,207.4086837437031
1.7,925.5715447634526,206.64898659252486
1.71,930.2825286406597,204.45466065559086
1.72,935.4572446237177,202.10876164245133
1.73,993.98297839479,176.79529237998878
1.74,994.6136047517978,174.7914767337223
1.75,993.4649324940889,174.3996233031688
1.76,991.6551642118085,174.75762544466892
1.77,990.9719128090804,175.46753218353828
1.78,990.2820916457131,175.67974964895095
1.79,990.4051218349769,176.22265410950644
1.8,989.8457021414042,175.32232797459992
1.81,991.1593923098679,174.2490597209309
1.82,991.2403783068886,174.27936272772368
1.83,990.2841967788648,175.0659339644612
1.84,989.6178601251386,176.0212310676821
1.85,988.9783239573869,176.18019404852768
1.86,990.6465386512918,176.7182200231457
1.87,990.9538237839489,177.37227008163086
1.88,991.0575165467092,176.63611063450423
1.89,985.2571819046718,178.31335086680164
1.9,986.250928639934,176.9904581221498
1.91,1003.1749887821808,185.59034079559464
1.92,1087.5165915401835,225.6346502363057
1.93,1120.9910049759067,243.6682834928417
1.94,1175.7438793241174,272.61442752379617
1.95,1176.0555631624086,271.6240123300088
1.96,1175.871009522505,272.50576831449087
1.97,1175.6439869955614,273.4710101312946
1.98,1175.8189842808547,273.34744754122636
1.99,1067.6077050812935,208.8669412507365
2.0,1062.6593146078699,205.7885652718833
2.01,1055.4301391568383,202.04319607287198
2.02,1047.8548707859106,199.30998758413384
2.03,1039.7041230712973,196.5070453455634
2.04,1038.8897494183097,197.81037110119783
2.05,1039.4008539372883,198.2073035959356
2.06,1041.6372457305204,203.980088437467
2.07,1054.709237719674,217.6150018275179
2.08,1164.611293732459,580.9553221245849
2.09,1165.368652669073,582.6963771578145
2.1,1166.4840585345835,586.8004480304693
2.11,1167.422097220556,590.2597624209491
2.12,1169.0955115873933,610.5873002137369
2.13,1169.0074493962588,632.9260022772361
2.14,1171.3413712670147,632.9530102286328
2.15,1175.9560213680468,632.6649389156019
2.16,1178.367262562044,631.9058171298523
2.17,1180.3967903294906,631.4120905835423
2.18,1182.0920884641107,629.6035851318749
2.19,1182.8580819997687,629.1968394616526
2.2,1184.0661037803009,629.5363319200925
2.21,1184.390029590396,628.3476740858955
2.22,1184.740095490116,627.6630187076054
2.23,1184.741694880507,627.6265104309324
2.24,1180.2825960953376,621.918954819168
2.25,1180.1307799016922,621.7991166421253
2.26,1179.4616568811264,622.5791271907744
2.27,1180.650294253197,620.9793688426629
2.28,1180.7992179347498,621.062499638892
2.29,1179.1579269942165,623.1053936041332
2.3,1179.70599594751,623.2917975360288
